p1	p2	agree	ministry	c
7	6	11	Udenrigsministeriet	26
14	6	10	Udenrigsministeriet	26
1	7	23	Udenrigsministeriet	26
2	7	18	Udenrigsministeriet	26
3	7	23	Udenrigsministeriet	26
4	7	23	Udenrigsministeriet	26
5	7	25	Udenrigsministeriet	26
6	7	11	Udenrigsministeriet	26
7	7	26	Udenrigsministeriet	26
14	7	23	Udenrigsministeriet	26
1	14	22	Udenrigsministeriet	26
2	14	19	Udenrigsministeriet	26
3	14	22	Udenrigsministeriet	26
4	14	22	Udenrigsministeriet	26
5	14	24	Udenrigsministeriet	26
6	14	10	Udenrigsministeriet	26
7	14	23	Udenrigsministeriet	26
14	14	26	Udenrigsministeriet	26
1	1	18	Undervisningsministeriet	18
2	1	15	Undervisningsministeriet	18
3	1	18	Undervisningsministeriet	18
4	1	18	Undervisningsministeriet	18
5	1	15	Undervisningsministeriet	18
6	1	11	Undervisningsministeriet	18
7	1	16	Undervisningsministeriet	18
14	1	11	Undervisningsministeriet	18
1	2	15	Undervisningsministeriet	18
2	2	18	Undervisningsministeriet	18
3	2	15	Undervisningsministeriet	18
4	2	15	Undervisningsministeriet	18
5	2	16	Undervisningsministeriet	18
6	2	10	Undervisningsministeriet	18
7	2	13	Undervisningsministeriet	18
14	2	14	Undervisningsministeriet	18
1	3	18	Undervisningsministeriet	18
2	3	15	Undervisningsministeriet	18
3	3	18	Undervisningsministeriet	18
4	3	18	Undervisningsministeriet	18
5	3	15	Undervisningsministeriet	18
6	3	11	Undervisningsministeriet	18
7	3	16	Undervisningsministeriet	18
14	3	11	Undervisningsministeriet	18
1	4	18	Undervisningsministeriet	18
2	4	15	Undervisningsministeriet	18
3	4	18	Undervisningsministeriet	18
4	4	18	Undervisningsministeriet	18
5	4	15	Undervisningsministeriet	18
6	4	11	Undervisningsministeriet	18
7	4	16	Undervisningsministeriet	18
14	4	11	Undervisningsministeriet	18
1	5	15	Undervisningsministeriet	18
2	5	16	Undervisningsministeriet	18
3	5	15	Undervisningsministeriet	18
4	5	15	Undervisningsministeriet	18
5	5	18	Undervisningsministeriet	18
6	5	8	Undervisningsministeriet	18
7	5	15	Undervisningsministeriet	18
14	5	14	Undervisningsministeriet	18
1	6	11	Undervisningsministeriet	18
2	6	10	Undervisningsministeriet	18
3	6	11	Undervisningsministeriet	18
4	6	11	Undervisningsministeriet	18
5	6	8	Undervisningsministeriet	18
6	6	18	Undervisningsministeriet	18
7	6	9	Undervisningsministeriet	18
14	6	10	Undervisningsministeriet	18
1	7	16	Undervisningsministeriet	18
2	7	13	Undervisningsministeriet	18
3	7	16	Undervisningsministeriet	18
4	7	16	Undervisningsministeriet	18
5	7	15	Undervisningsministeriet	18
6	7	9	Undervisningsministeriet	18
7	7	18	Undervisningsministeriet	18
14	7	13	Undervisningsministeriet	18
1	14	11	Undervisningsministeriet	18
2	14	14	Undervisningsministeriet	18
3	14	11	Undervisningsministeriet	18
4	14	11	Undervisningsministeriet	18
5	14	14	Undervisningsministeriet	18
6	14	10	Undervisningsministeriet	18
7	14	13	Undervisningsministeriet	18
14	14	18	Undervisningsministeriet	18
1	1	64	Økonomi- og Indenrigsministeriet	64
2	1	40	Økonomi- og Indenrigsministeriet	64
3	1	63	Økonomi- og Indenrigsministeriet	64
4	1	64	Økonomi- og Indenrigsministeriet	64
5	1	43	Økonomi- og Indenrigsministeriet	64
6	1	39	Økonomi- og Indenrigsministeriet	64
7	1	39	Økonomi- og Indenrigsministeriet	64
14	1	44	Økonomi- og Indenrigsministeriet	64
1	2	40	Økonomi- og Indenrigsministeriet	64
2	2	64	Økonomi- og Indenrigsministeriet	64
3	2	41	Økonomi- og Indenrigsministeriet	64
4	2	40	Økonomi- og Indenrigsministeriet	64
5	2	58	Økonomi- og Indenrigsministeriet	64
6	2	21	Økonomi- og Indenrigsministeriet	64
7	2	55	Økonomi- og Indenrigsministeriet	64
14	2	48	Økonomi- og Indenrigsministeriet	64
1	3	63	Økonomi- og Indenrigsministeriet	64
2	3	41	Økonomi- og Indenrigsministeriet	64
3	3	64	Økonomi- og Indenrigsministeriet	64
4	3	63	Økonomi- og Indenrigsministeriet	64
5	3	42	Økonomi- og Indenrigsministeriet	64
6	3	40	Økonomi- og Indenrigsministeriet	64
7	3	38	Økonomi- og Indenrigsministeriet	64
14	3	43	Økonomi- og Indenrigsministeriet	64
1	4	64	Økonomi- og Indenrigsministeriet	64
2	4	40	Økonomi- og Indenrigsministeriet	64
3	4	63	Økonomi- og Indenrigsministeriet	64
4	4	64	Økonomi- og Indenrigsministeriet	64
5	4	43	Økonomi- og Indenrigsministeriet	64
6	4	39	Økonomi- og Indenrigsministeriet	64
7	4	39	Økonomi- og Indenrigsministeriet	64
14	4	44	Økonomi- og Indenrigsministeriet	64
1	5	43	Økonomi- og Indenrigsministeriet	64
2	5	58	Økonomi- og Indenrigsministeriet	64
3	5	42	Økonomi- og Indenrigsministeriet	64
4	5	43	Økonomi- og Indenrigsministeriet	64
5	5	64	Økonomi- og Indenrigsministeriet	64
6	5	18	Økonomi- og Indenrigsministeriet	64
7	5	57	Økonomi- og Indenrigsministeriet	64
14	5	50	Økonomi- og Indenrigsministeriet	64
1	6	39	Økonomi- og Indenrigsministeriet	64
2	6	21	Økonomi- og Indenrigsministeriet	64
3	6	40	Økonomi- og Indenrigsministeriet	64
4	6	39	Økonomi- og Indenrigsministeriet	64
5	6	18	Økonomi- og Indenrigsministeriet	64
6	6	64	Økonomi- og Indenrigsministeriet	64
7	6	22	Økonomi- og Indenrigsministeriet	64
14	6	29	Økonomi- og Indenrigsministeriet	64
1	7	39	Økonomi- og Indenrigsministeriet	64
2	7	55	Økonomi- og Indenrigsministeriet	64
3	7	38	Økonomi- og Indenrigsministeriet	64
4	7	39	Økonomi- og Indenrigsministeriet	64
5	7	57	Økonomi- og Indenrigsministeriet	64
6	7	22	Økonomi- og Indenrigsministeriet	64
7	7	64	Økonomi- og Indenrigsministeriet	64
14	7	49	Økonomi- og Indenrigsministeriet	64
1	14	44	Økonomi- og Indenrigsministeriet	64
2	14	48	Økonomi- og Indenrigsministeriet	64
3	14	43	Økonomi- og Indenrigsministeriet	64
4	14	44	Økonomi- og Indenrigsministeriet	64
5	14	50	Økonomi- og Indenrigsministeriet	64
6	14	29	Økonomi- og Indenrigsministeriet	64
7	14	49	Økonomi- og Indenrigsministeriet	64
14	14	64	Økonomi- og Indenrigsministeriet	64
